name,value
龈炎,788
黄斑,787
高血压病,787
高血压,787
髓系,651
髋关节,651
骨髓,527
骨质,290
骨痹,289
骨折,222
骨性,152
骤停,99
香料,90
食管,75
风湿性关节炎,64
颈椎病,63
颈椎,58
颈内,49
颅内,44
项痹,44
韧带,40
靶向,39
静脉炎,39
静脉曲张,33
静脉,33
青光眼,32
障碍性,31
障碍,31
随后,31
附睾炎,30
阻塞性,27
阻塞,25
阴茎,24
间质性,24
门诊,23
门下,23
重度,22
酒精,22
透析,21
退行性,21
过敏性,21
输尿管,21
软组织,21
躯干,20
超声,20
贲门,20
贫血,20
视网膜,18
衰竭,18
表现,18
行为障碍,17
血肿,17
血管,16
血栓性,16
蜂窝,16
药物,16
舌咽神经,15
膝痹,14
膝关节,14
腹股沟,13
腹痛,13
腹泻,13
腹壁,12
腰痛,12
腰椎间盘,11
腰椎,11
腔隙性,11
脱出,11
脓肿,10
脑部,10
脑血管病,10
脑积水,10
脑梗死,10
脑梗塞,9
脑出血,9
脊髓,9
胸闷,9
胰岛素,9
胬肉,9
胆道,8
胆管,8
胆总管,8
胆囊结石,8
胆囊炎,8
胆囊,8
胃肠炎,7
胃炎,7
胃溃疡,7
胃底,7
胃小弯,7
肿瘤,7
肿物,7
肾脏,7
肾病,7
肾炎,6
肾小球,6
肾功能,6
肺部,6
肺结核,6
肺病,6
