name,value
鼻窦炎,860
鼻出血,860
黑色素瘤,658
黄斑,658
高钾血症,658
高血压病,658
高血压,622
骨髓,566
骨质,372
骨折,286
骨性,191
食管,104
风湿性关节炎,74
风湿性,64
颈椎病,63
颈椎,59
颈内,59
颅内,57
韧带,51
靶向,51
静脉曲张,45
静脉,45
青光眼,45
需要,44
障碍性,36
障碍,36
阻塞性,30
阵发性,30
阴道,29
阑尾炎,29
阑尾,28
间质性,25
间质,22
闭角型,22
门诊,22
链球菌,20
银屑病,20
重症,20
透析,20
退行性,19
迟缓,19
运动神经元,18
输尿管,18
贲门,18
贫血,17
视网膜,17
裂孔,17
衰竭,14
表现,14
行为,14
血脂,13
血糖,13
血管,13
血栓性,13
血栓,12
血小板,12
虹膜,12
膝痹,12
膝关节,11
膀胱,10
腹股沟,10
腹痛,10
腰肌劳损,10
腰痛,9
腰椎间盘,9
腰椎,9
腕关节,9
腔隙性,8
脱垂,8
脱出,8
脱位,8
脑震荡,8
脑部,8
脑血管病,8
脑血管,7
脑血栓,7
脑积水,7
脑梗死,7
脑干,7
脑出血,7
脊髓,7
胸闷,7
胸痛,7
胰腺炎,6
胰腺,6
胰岛素,6
胬肉,6
背景,5
胆管,5
胆石症,5
胆囊结石,5
胆囊癌,5
胆囊炎,5
胃炎,5
胃溃疡,5
胃小弯,5
胀气,5
肿瘤,5
肿物,5
肾脏,5
