name,value
黄斑,172
麻木,172
高血压病,172
高血压,172
骨髓,82
食管炎,82
食管,74
随后,33
阻塞性,22
门诊,21
轻度,19
软组织,17
衰竭,17
血肿,16
血管,13
腹痛,13
腹泻,12
腰痛,11
腰椎间盘,11
脓胸,11
脑部,11
脑血管病,10
脑血栓,10
脑梗死,10
脑出血,7
脂肪瘤,7
胸腔,7
胰岛素,6
胆囊,6
胃肠功能,6
胃炎,6
胃溃疡,6
胃出血,5
肿瘤,5
肿物,5
肿大,5
肾衰竭,5
肾脏,5
肺部,5
肺病,5
肺炎,5
肺源性,5
肺气肿,5
肢体,5
肠炎,5
缺血,5
缺损,4
维持性,4
结肠,4
结核病,4
纤颤,4
紊乱,3
糖尿病,3
精索,3
粥样,3
类风湿,3
突出,3
稳定型,3
积液,3
神经衰弱,3
神经功能,3
神经,3
硬化性,3
相关性,3
直肠,3
皮下,3
白内障,3
癫痫,3
病种,3
病变,2
疾病,2
疾患,2
疼痛,2
电解质,2
瓣膜病,2
溃疡,2
湿疹,2
消化性,2
泌尿道,2
治疗,2
植入,2
检测,2
核酸,2
放射治疗,2
支气管炎,2
支气管,2
支架,2
擦伤,2
抬高,1
报销,1
抗栓,1
手术,1
慢性,1
感染性,1
感染,1
意外,1
恶性肿瘤,1
息肉,1
性疾病,1
急性,1
