name,value
鼻腔,826
鼻息肉,826
鼻咽,826
黏液,826
黄斑,664
麻痹,664
麻木,478
高血压病,377
高血压,306
高脂血症,278
髋关节,179
骨髓,87
骨性,83
食管炎,73
食管,70
食物中毒,66
风湿性关节炎,64
颈部,62
颈椎病,61
颈椎,61
颅内,58
项痹,58
顶叶,53
靶向,49
面神经,47
静脉炎,47
静脉曲张,35
静脉,34
障碍性,34
随诊,32
附睾炎,32
阻塞性,30
阵发性,30
阑尾炎,29
门诊,29
银屑病,28
重症,28
酒精,28
透析,26
退行性,21
输尿管,21
轻度,19
软组织,19
躯干,19
超声,18
贫血,17
视网膜,16
衰竭,16
行为障碍,15
血肿,15
血管,15
血流,13
血栓性,13
血栓,13
蛛网膜,13
荨麻疹,11
良性,11
自发性,11
膝关节,11
膀胱炎,11
膀胱,11
腹股沟,11
腹痛,10
腹泻,10
腰痛,10
腰椎间盘,10
腰椎,10
腮腺,10
腔隙性,10
脱离,10
脓肿,9
脓毒症,9
脓性,9
脑部,9
脑血管病,8
脑血管,8
脑缺氧,8
脑病,8
脑梗死,8
脑干,8
脑出血,8
脊髓,8
脊椎,7
脊柱炎,7
脆性,7
胸闷,7
胸腔,7
胸下,7
胰腺炎,7
胰腺,7
胰岛素,7
胬肉,7
胆道,7
胆管,7
胆总管,7
胆囊炎,6
胃炎,6
胃底,6
肿瘤,6
肿物,6
