name,value
鼻炎,1042
黄斑,1042
高血压病,832
高血压,832
高脂血症,832
高原,832
高压,740
髋关节,674
骨髓,433
骨质,344
骨性,313
骤停,118
食管炎,101
食管,94
风湿病,94
风湿性,83
颈椎病,67
颈椎,67
颅内,64
项痹,60
韧带,48
靶向,46
静脉曲张,44
静脉,42
障碍,40
随后,38
阻塞性,36
阻塞,36
阴道,34
阑尾炎,32
间质性,28
闭塞,28
门诊,27
银屑病,26
重症,26
部位,26
透析,26
输尿管,22
超声,20
视网膜,20
衰竭,18
血脂,18
血管,18
血小板,17
蜂窝,17
药物,17
良性肿瘤,16
自身,16
膝痹,14
膝关节,14
膜炎,13
膀胱炎,13
腹腔,13
腹股沟,12
腹痛,12
腰部,12
腰肌劳损,12
腰痛,12
腰椎间盘,11
腮腺,11
腕管,10
腔隙性,10
脱垂,10
脱出,10
脱位,10
脓肿,10
脑部,10
脑血管病,10
脑血管,10
脑缺血,10
脑炎,10
脑梗死,9
脑出血,9
脊髓型,9
脊椎,9
脊柱炎,9
脆性,8
胸部,8
胸痛,8
胰腺炎,8
胰腺,8
胰岛素,8
胬肉,8
胆囊结石,8
胆囊炎,8
胃肠功能,8
胃痛,8
胃炎,7
胃溃疡,7
胃小弯,7
胃体,7
肿瘤,7
肿物,7
肿块,7
肾衰竭,7
肾脏病,7
肾脏,6
肾结石,6
肾积水,6
肾病,6
