name,value
鼻窦炎,768
鼻炎,768
黄斑,605
高血压病,605
高血压,605
高脂血症,605
骨髓瘤,597
骨髓,466
骨质增生,281
骨质,228
骨肿瘤,164
骨痛,114
骨折,80
食管,72
风湿性关节炎,71
颈椎,68
颈内,67
颅内,58
靶向,52
静脉曲张,46
静脉,44
青光眼,37
障碍性,34
障碍,34
阻塞性,29
阻塞,29
阵发性,29
阑尾炎,29
门诊,26
重度,26
透析,26
退行性,24
过敏反应,23
输尿管,23
踝关节,23
超声,21
贫血,21
角膜炎,20
角膜,19
视网膜,19
视神经,19
衰竭,19
血细胞,19
血糖,18
血管瘤,18
血管,17
血清,17
血栓,17
蛛网膜,15
蚕蚀性,15
良性肿瘤,15
良性,15
膝关节,14
膜炎,13
腹腔,13
腹痛,13
腹泻,13
腰肌劳损,13
腰痛,13
腰椎间盘,12
腰椎,11
腮腺,11
腔隙性,10
脱离,10
脓毒,9
脓性,9
脑部,9
脑血管病,8
脑血管,8
脑血栓,8
脑缺血,8
脑病,8
脑梗死,7
脑出血,7
脆性,7
胸闷,7
胸痛,7
胸椎,7
胰岛素,7
胬肉,7
胆管癌,7
胆管,6
胆总管,6
胆囊结石,6
胆囊炎,5
胆囊,5
胃肠炎,5
胃痛,5
胃炎,5
胃溃疡,5
胃底,5
肿瘤,5
肿物,4
肾衰竭,4
肾脏,4
肾结石,4
肾功能,4
肺部,4
肺病,4
肺炎,4
