name,value
鼻窦炎,912
黑色素瘤,912
黄斑,691
高血糖素,691
高血压病,691
高血压,691
高压,654
髋关节,629
骨髓,373
骨质,313
骨折,196
骨性,145
骨关节,95
食管炎,87
食管,87
风湿性关节炎,83
风湿性,77
颌下腺炎,62
颈椎病,53
颈椎,46
颈内,45
颅内,41
项痹,41
韧带,40
靶向,39
静脉,39
青光眼,35
障碍性,33
阻塞性,30
阻塞,30
阵发性,29
阴道,28
阑尾炎,26
闭角型,26
门诊,26
重症,26
重度,25
透析,24
退行性,24
输尿管,23
超声,23
贫血,23
视网膜,22
衰竭,22
血脂,22
血管瘤,18
血管性,18
血管,18
血小板,16
蛛网膜,16
荨麻疹,15
良性,15
膝关节,15
膜炎,15
腹膜,14
腹股沟,14
腹痛,13
腹泻,12
腹水,12
腰肌劳损,12
腰痛,11
腰椎间盘,11
腰椎,11
腔隙性,10
脱垂,10
脱出,10
脑部,10
脑血管病,10
脑血管,9
脑脊液,9
脑梗死,9
脑出血,9
脏器,9
脆性,8
胸腔,8
胰腺,8
胰岛素,8
胬肉,7
胆管,7
胆囊结石,7
胆囊癌,7
胆囊炎,7
胆囊,7
胃肠炎,6
胃炎,6
胃溃疡,6
胃小弯,6
肿瘤,6
肿物,6
肾脏,6
肾结石,6
肾盂肾炎,6
肾病,6
肾功能,6
肺部,6
肺病,6
肺炎,5
肺源性,5
肺气肿,5
肺动脉,5
