类别,单位,第一次人口普(1953.7.1),第二次人口普(1964.7.1),第三次人口普(1982.7.1),第四次人口普(1990.7.1),第五次人口普(2000.11.1),第六次人口普(2010.11.1)
总人口,万人,0,462.65,576.18,626.26,663.57,696.82
按性别分,0,0,0,0,0,0,
男,万人,0,230.75,290.38,316.29,335.06,352.25
女,万人,0,231.90,285.80,309.96,328.51,344.57
按主要年龄段分,0,0,0,0,0,0,
0-14岁,万人,0,0,0,139.99,114.74,76.47
15-64岁,万人,0,0,0,441.39,489.36,540.53
65岁及以上,万人,0,0,0,44.87,59.46,79.82
总户数,万户,0,103.84,149.61,187.14,228.47,254.07
家庭户,万户,0,0,149.13,185.94,222.03,245.68
平均家庭户规模,人,0,0,3.74,3.23,2.82,2.62
民族,0,0,0,0,0,0,
民族个数,个,0,0,19.00,36.00,48.00,50.00
汉族人口,万人,0,0,576.08,483.46,662.32,694.47
少数民族人口,万人,0,0,0.10,0.27,1.26,2.35
平均预期寿命,岁,0,0,0,0,74.81,76.50
各种文化程度人口,0,0,0,0,0,0,
大学,万人,0,0,1.34,7.06,26.44,69.19
高中,万人,0,0,47.91,62.65,92.92,124.35
初中,万人,0,0,139.05,203.79,269.44,299.27
小学,万人,0,0,227.93,210.24,193.52,150.29
文盲半文盲,万人,0,0,93.73,82.06,47.41,24.38
6岁及以上人口平均受教育年限,年,0,0,0,6.99,8.10,9.18
总人口性别比,女性为100,0,99.50,101.60,102.04,101.99,102.23
总抚养比,%,0,0,0,41.88,35.60,28.91
少儿抚养比,%,0,0,0,31.72,23.45,14.15
老年抚养比,%,0,0,0,10.17,12.15,14.77
