机构地址,经度,纬度,联系电话,机构名称
东港区秦楼街道驻地,119.53011422164693,35.46771125125786,8370119,日照市东港区秦楼街道社区卫生服务中心
东港区秦楼街道驻地,119.53011422164693,35.46771125125786,8370119,日照市东港区秦楼街道社区卫生服务中心
东港区秦楼街道驻地,119.53011422164693,35.46771125125786,8370119,日照市东港区秦楼街道社区卫生服务中心
东港区秦楼街道驻地,119.53011422164693,35.46771125125786,8370119,日照市东港区秦楼街道社区卫生服务中心
日照市岚山区岚山头街道圣岚东路799号,119.36095700597949,35.10482194973707,2881192,日照市岚山区岚山头街道社区卫生服务中心
日照市岚山区岚山头街道圣岚东路799号,119.36095700597949,35.10482194973707,2881192,日照市岚山区岚山头街道社区卫生服务中心
日照市岚山区岚山头街道圣岚东路799号,119.36095700597949,35.10482194973707,2881192,日照市岚山区岚山头街道社区卫生服务中心
日照市岚山区岚山头街道圣岚东路799号,119.36095700597949,35.10482194973707,2881192,日照市岚山区岚山头街道社区卫生服务中心
日照市岚山区安东卫街道西街居委,119.35792127233908,35.103750658098214,0633-297506,日照市岚山区安东卫街道社区卫生服务中心
日照市岚山区安东卫街道西街居委,119.35792127233908,35.103750658098214,0633-297506,日照市岚山区安东卫街道社区卫生服务中心
日照市岚山区安东卫街道西街居委,119.35792127233908,35.103750658098214,0633-297506,日照市岚山区安东卫街道社区卫生服务中心
日照市岚山区安东卫街道西街居委,119.35792127233908,35.103750658098214,0633-297506,日照市岚山区安东卫街道社区卫生服务中心
莒县墩头社区驻地,118.89194056023167,35.661628025371215,18063319630,莒县墩头社区卫生服务中心
莒县墩头社区驻地,118.89194056023167,35.661628025371215,18063319630,莒县墩头社区卫生服务中心
莒县墩头社区驻地,118.89194056023167,35.661628025371215,18063319630,莒县墩头社区卫生服务中心
莒县墩头社区驻地,118.89194056023167,35.661628025371215,18063319630,莒县墩头社区卫生服务中心
日照经济开发区奎山街道驻地,119.43233824824392,35.3790710296381,8611095,日照经济技术开发区奎山街道社区卫生服务中心
日照经济开发区奎山街道驻地,119.43233824824392,35.3790710296381,8611095,日照经济技术开发区奎山街道社区卫生服务中心
日照经济开发区奎山街道驻地,119.43233824824392,35.3790710296381,8611095,日照经济技术开发区奎山街道社区卫生服务中心
日照经济开发区奎山街道驻地,119.43233824824392,35.3790710296381,8611095,日照经济技术开发区奎山街道社区卫生服务中心
五莲县城解放路17号,119.21264398153508,35.7557717214482,5213778,五莲县洪凝街道社区卫生服务中心
五莲县城解放路17号,119.21264398153508,35.7557717214482,5213778,五莲县洪凝街道社区卫生服务中心
五莲县城解放路17号,119.21264398153508,35.7557717214482,5213778,五莲县洪凝街道社区卫生服务中心
五莲县城解放路17号,119.21264398153508,35.7557717214482,5213778,五莲县洪凝街道社区卫生服务中心
日照市海安路69号,119.40061170036772,35.42929256650791,2217838,日照市东港区日照街道社区卫生服务中心
日照市海安路69号,119.40061170036772,35.42929256650791,2217838,日照市东港区日照街道社区卫生服务中心
日照市海安路69号,119.40061170036772,35.42929256650791,2217838,日照市东港区日照街道社区卫生服务中心
日照市海安路69号,119.40061170036772,35.42929256650791,2217838,日照市东港区日照街道社区卫生服务中心
日照市海滨三路南段,119.5480047843531,35.39875264624687,8331193,东港区石臼街道社区卫生服务中心
日照市海滨三路南段,119.5480047843531,35.39875264624687,8331193,东港区石臼街道社区卫生服务中心
日照市海滨三路南段,119.5480047843531,35.39875264624687,8331193,东港区石臼街道社区卫生服务中心
日照市海滨三路南段,119.5480047843531,35.39875264624687,8331193,东港区石臼街道社区卫生服务中心
日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,7981300,山海天旅游度假区卧龙山社区卫生服务中心
日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,7981300,山海天旅游度假区卧龙山社区卫生服务中心
日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,7981300,山海天旅游度假区卧龙山社区卫生服务中心
日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,7981300,山海天旅游度假区卧龙山社区卫生服务中心
日照经济开发区郑州路,119.52475484114385,35.39562887916208,0633-2216256,北京路街道社区卫生服务中心
日照经济开发区郑州路,119.52475484114385,35.39562887916208,0633-2216256,北京路街道社区卫生服务中心
日照经济开发区郑州路,119.52475484114385,35.39562887916208,0633-2216256,北京路街道社区卫生服务中心
日照经济开发区郑州路,119.52475484114385,35.39562887916208,0633-2216256,北京路街道社区卫生服务中心
莒县经济开发区烟台中路1号,118.85106999512202,35.62623287211936,18663305595,莒县西湖社区卫生服务中心
