行政区划,经度,纬度
莒县,118.84353824240416,35.585872122989336
安庄镇,118.81507642045658,35.812024295965045
长岭镇,118.84412519522436,35.48467689020182
城阳街道,118.87431517731208,35.60263670674829
店子集街道,118.90677670454282,35.584404147065115
东莞镇,118.97214585752064,35.99182610165766
浮来山街道,118.78007978524607,35.59681379355452
果庄镇,118.76921244450855,35.77904002765127
峤山镇,118.9460048976886,35.65733871302084
经济开发区,119.53341540456556,35.42283899843767
库山乡,118.9799089239073,35.923040074853105
陵阳街道,118.8900065084687,35.54577504797105
刘官庄镇,118.80112322063115,35.52220151683903
龙山镇,119.00374671824228,35.51595522675169
洛河镇,118.83380330559253,35.7535760820712
碁山镇,118.89537801609616,35.87753653423997
桑园镇,119.04601217214784,35.678552649144294
夏庄镇,118.7006742493527,35.41952512442019
小店镇,118.8100698943578,35.42248412304321
阎庄镇,119.53341540456556,35.42283899843767
寨里河镇,118.93158395018418,35.46998243260702
招贤镇,118.92921916092916,35.723248275042415
