城市,经度,纬度
上海,121.48486824358186,31.240776068850483
青浦区,121.13055310467274,31.155454317980737
杨浦区,121.53251993732523,31.265524144657057
徐汇区,121.4433963527638,31.194556772822725
浦东新区,121.55045460683196,31.227348292436343
长宁区,121.430454375451,31.226847968225428
黄浦区,121.49158559252436,31.23724715206362
普陀区,121.40356934916508,31.2549733682796
闵行区,121.38861193361008,31.118842580087428
松江区,121.23447959624146,31.03713517646449
虹口区,121.51158645453457,31.26974669893136
宝山区,121.4965630135246,31.41027947347614
嘉定区,121.27259505835202,31.3801553396772
静安区,121.45343177276852,31.23384493040165
崇明区,121.40355686271847,31.62856998440405
金山区,121.34848004512126,30.74785237657032
奉贤区,121.48050373643107,30.923720110285377
