id,jd,wd,h,city
1,116.26957358246214,36.571579573580394,0,聊城
1,116.47439582189809,36.83460559920301,1,聊城
1,116.09768248687851,36.57635687106781,2,聊城
1,116.219554289119,36.706431998981586,3,聊城
1,116.1412236076262,36.71581193185633,4,聊城
1,116.30392798682932,36.646780583933634,5,聊城
1,116.26145856405066,36.581767145087404,6,聊城
1,116.0315644132027,36.603251131792874,7,聊城
1,116.33202071475303,36.52295207592409,8,聊城
1,116.37608477128468,36.47214860774926,9,聊城
1,116.21282232733208,36.91904000171033,10,聊城
1,116.46982172499303,36.56182456068394,11,聊城
1,116.04161581125685,36.50711816020616,12,聊城
1,116.0778753098103,36.84962611823265,13,聊城
1,116.27187721716955,36.770940882123014,14,聊城
1,116.21049110487054,36.501305831534914,15,聊城
1,116.0769351902459,36.751608780387535,16,聊城
1,116.15234476092124,36.805451490283225,17,聊城
1,116.36766633375225,36.86155308418744,18,聊城
1,116.11238212510305,36.82988166903515,19,聊城
1,116.10562407892444,36.4792562410747,20,聊城
1,116.36059520069489,36.718457336769326,21,聊城
1,116.22184970700333,36.71684313619088,22,聊城
1,116.1975647577962,36.76816886531511,23,聊城
2,121.81945336391183,37.54285747271084,0,烟台
2,121.62409948901096,37.9236535736768,1,烟台
2,121.455531614614,37.578826740845884,2,烟台
2,121.81672913703434,37.515344869352994,3,烟台
2,121.73009467688448,37.513474580295,4,烟台
2,121.54929620959217,37.52908760967414,5,烟台
2,121.84543917017722,37.69364464288012,6,烟台
2,121.63908401320131,37.49045137933846,7,烟台
2,121.79118974900565,37.523625446430685,8,烟台
2,121.54449545514572,37.77049573807156,9,烟台
2,121.74142156697673,37.85485749395799,10,烟台
2,121.59385524636951,37.93858756698709,11,烟台
2,121.48715271310091,37.547840098302515,12,烟台
2,121.47438719495354,37.85655621710572,13,烟台
2,121.8054112957509,37.679510960576934,14,烟台
2,121.86089414914841,37.483291280346876,15,烟台
2,121.5351767192369,37.49659385184803,16,烟台
2,121.79982919516341,37.888592050168796,17,烟台
2,121.64420829551034,37.841900953025295,18,烟台
2,121.8449816691371,37.912394137450335,19,烟台
2,121.71124758101226,37.89785556327514,20,烟台
2,121.90231435678119,37.71286296982114,21,烟台
2,121.5202138324084,37.92154486065448,22,烟台
2,121.55637861876686,37.62146745562685,23,烟台
3,122.60313420933731,37.795457714774365,0,威海
3,122.37317779447403,37.92415134657279,1,威海
3,122.24757803340991,37.56613800862243,2,威海
3,122.19456463707758,37.75503666616783,3,威海
3,122.61999345242718,37.81215792629339,4,威海
3,122.55860229130226,37.82877289361178,5,威海
3,122.38527384437856,37.77705754500634,6,威海
3,122.20051107650016,37.73867952794655,7,威海
3,122.60430358448055,37.70574163791987,8,威海
3,122.41799427217191,37.818176749842756,9,威海
3,122.23371465324847,37.86786704437851,10,威海
3,122.1698559889877,37.69270626880597,11,威海
3,122.54869447688507,37.81775487880111,12,威海
3,122.58488712666492,37.875343862975384,13,威海
3,122.5919903534212,37.76423727917858,14,威海
3,122.40697092915012,37.7322325414176,15,威海
3,122.54671239382171,37.65936940689792,16,威海
3,122.53495481693415,37.51774936979111,17,威海
3,122.32355760319888,37.73711424158901,18,威海
3,122.30494373543824,37.89586889413652,19,威海
3,122.52159915873608,37.52462706027773,20,威海
3,122.34827665559612,37.68888626028706,21,威海
3,122.51179160928727,37.9094267141478,22,威海
3,122.5999594290658,37.777897851533446,23,威海
4,119.04107008077656,37.59961008922995,0,东营
4,118.79827111944016,37.633248939217204,1,东营
4,119.00571152381528,37.458708529955835,2,东营
4,118.78098225339589,37.741017431681215,3,东营
4,118.7008014567798,37.57104320124539,4,东营
4,118.73768385747398,37.727378482770646,5,东营
4,119.02760950619296,37.5452818069654,6,东营
4,118.87218808413483,37.583620026803615,7,东营
4,119.0398909794213,37.8436063808537,8,东营
4,119.08010414618458,37.84747867935705,9,东营
4,119.00577362938343,37.5294371054806,10,东营
4,118.86283460370704,37.59072954617517,11,东营
4,119.01704687930113,37.72181390453014,12,东营
4,118.86472315267396,37.45181649491784,13,东营
4,118.90470976916457,37.835717519345934,14,东营
4,118.808127164085,37.89245728281442,15,东营
4,119.01324626302186,37.469096659467276,16,东营
4,119.13130868066156,37.79378735500584,17,东营
4,118.76951493566527,37.693546025628436,18,东营
4,118.98051297863867,37.75126157952175,19,东营
4,118.79788577162081,37.64575613462297,20,东营
4,119.16432721064177,37.560522872682085,21,东营
4,119.03920657838701,37.937033872906625,22,东营
4,118.83100067559921,37.725751442716096,23,东营
5,117.40364824729323,36.71233682768735,0,济南
5,117.20085251614846,36.7366756242845,1,济南
5,117.44891947767589,36.87992062756199,2,济南
5,117.16317928466106,36.782019042049605,3,济南
5,117.61875919388078,36.88080472248548,4,济南
5,117.17001926675735,36.69946326449652,5,济南
5,117.18309298466157,37.12444110336,6,济南
5,117.19538452924695,36.70343670003375,7,济南
5,117.28720783123474,36.86871137106525,8,济南
5,117.50525764987593,37.02019299088494,9,济南
5,117.43785986629506,36.7235158199766,10,济南
5,117.58348776579311,36.844806310913526,11,济南
5,117.37008955255354,37.01772957833329,12,济南
5,117.33273889970515,36.996595383703315,13,济南
5,117.20100916272254,36.853418327534996,14,济南
5,117.61433447519272,37.12293399613181,15,济南
5,117.52252144455801,37.0550159089654,16,济南
5,117.43817515740426,37.02534915757295,17,济南
5,117.55801196035374,37.13713151601501,18,济南
5,117.45384728373773,36.93940647044172,19,济南
5,117.43651465491277,37.023446183825875,20,济南
5,117.60925780347918,36.71055694141042,21,济南
5,117.50066880330851,37.03645878890839,22,济南
5,117.38499528337195,36.88367454595164,23,济南
6,118.67266340130197,35.48432657270756,0,临沂
6,118.70692572480513,35.23040163240626,1,临沂
6,118.40159169659817,35.12677726522316,2,临沂
6,118.50021255959454,35.603480737614674,3,临沂
6,118.36825659486215,35.52380174154555,4,临沂
6,118.54234702193735,35.41875587775521,5,临沂
6,118.66667037153647,35.241907690204705,6,临沂
6,118.45092973846133,35.177895578695455,7,临沂
6,118.79457722767573,35.42464748290197,8,临沂
6,118.82578545795965,35.383915053628286,9,临沂
6,118.61989057552373,35.546203723181456,10,临沂
6,118.56363079010609,35.33047902630836,11,临沂
6,118.8101681099607,35.398053272307614,12,临沂
6,118.50855767221587,35.60354844484355,13,临沂
6,118.60756595410872,35.53730542348038,14,临沂
6,118.59546596378242,35.450564475155296,15,临沂
6,118.45175731622196,35.38258517985598,16,临沂
6,118.36907768713128,35.12092808823303,17,临沂
6,118.73936052611096,35.29667262088184,18,临沂
6,118.84759540439322,35.43571174635919,19,临沂
6,118.55035840032915,35.40263557836862,20,临沂
6,118.36643993132454,35.318301985427254,21,临沂
6,118.47645760405648,35.477299748123265,22,临沂
6,118.65648534906423,35.24209406138202,23,临沂
7,118.8211197915633,35.446817091549164,0,临沂
7,118.42277881168121,35.416852342745834,1,临沂
7,118.57326735396047,35.583833860795544,2,临沂
7,118.66135107309483,35.40250401250408,3,临沂
7,118.42821975500578,35.47092694275478,4,临沂
7,118.47038523987175,35.36282242655402,5,临沂
7,118.82280535095919,35.19793636468271,6,临沂
7,118.75716150158902,35.189875094162275,7,临沂
7,118.76935345510766,35.19815781647201,8,临沂
7,118.43949541779676,35.11196447680448,9,临沂
7,118.68208170012996,35.18995381772874,10,临沂
7,118.37320646034244,35.52399013409991,11,临沂
7,118.6668701333816,35.2866721613676,12,临沂
7,118.59255740532318,35.18135203930489,13,临沂
7,118.7946435542776,35.29750626616965,14,临沂
7,118.67460933780548,35.44623784461914,15,临沂
7,118.77995424905231,35.25034106629024,16,临沂
7,118.53579703453201,35.59684667859069,17,临沂
7,118.39707542846547,35.36038578578305,18,临沂
7,118.39342022818646,35.3590697660468,19,临沂
7,118.68648286193834,35.488244674672984,20,临沂
7,118.38570707826253,35.437590929701564,21,临沂
7,118.66883284473126,35.34713750153481,22,临沂
7,118.42016481877292,35.236674735050755,23,临沂
8,118.29396721373867,37.09405513891769,0,淄博
8,118.53021331180341,37.19095096789043,1,淄博
8,118.12425157733949,36.838140506155206,2,淄博
8,118.31303544296279,36.90244956704397,3,淄博
8,118.06280203318323,37.1989450439791,4,淄博
8,118.53484487490263,37.11167685781216,5,淄博
8,118.53560775362186,36.99455581643938,6,淄博
8,118.14817690248009,37.18023720630363,7,淄博
8,118.40271888475499,36.888644425904886,8,淄博
8,118.18649856566385,37.02414989114503,9,淄博
8,118.49868019173145,37.15559293111178,10,淄博
8,118.10052620214427,36.84062666855608,11,淄博
8,118.4957857770908,37.297373672821216,12,淄博
8,118.09655048378512,37.217558189185546,13,淄博
8,118.21398731658326,37.02743522756488,14,淄博
8,118.21711160609206,37.20149937835035,15,淄博
8,118.27096337502758,37.262013677704246,16,淄博
8,118.18658723041081,37.170240824940755,17,淄博
8,118.52322183552207,37.26605879178631,18,淄博
8,118.48298374040348,36.99342476669243,19,淄博
8,118.09846955341322,37.09965471200655,20,淄博
8,118.3505325643209,37.25646617540648,21,淄博
8,118.14105740260568,37.02389447871995,22,淄博
8,118.13874433350642,37.0012840195191,23,淄博
9,122.60106187277755,37.909151395752495,0,威海
9,122.33104838731511,37.59051447887412,1,威海
9,122.28384548229943,37.53100055732404,2,威海
9,122.23060252727916,37.712035107808646,3,威海
9,122.19349310552465,37.91437232010304,4,威海
9,122.55696723984731,37.899435137628394,5,威海
9,122.54887140204632,37.66508115241391,6,威海
9,122.54080427963481,37.54874226751614,7,威海
9,122.56523320623863,37.72503009967534,8,威海
9,122.49240833030964,37.90353509313773,9,威海
9,122.51001226103476,37.718851584509984,10,威海
9,122.29275171483921,37.99713147037075,11,威海
9,122.36563992084785,38.01390060110665,12,威海
9,122.1712195659104,37.98170109661672,13,威海
9,122.31363600027423,37.71607788727738,14,威海
9,122.37731519908303,38.00239063308647,15,威海
9,122.52625445701658,37.9756386042057,16,威海
9,122.50981288751228,37.95358897245536,17,威海
9,122.59270184167626,37.89925936593062,18,威海
9,122.53129326674578,37.53911453878546,19,威海
9,122.51308810523756,37.7423251984404,20,威海
9,122.50710211125484,37.97830923273181,21,威海
9,122.49833881245249,37.69007146104314,22,威海
9,122.43608419583376,37.945996841708315,23,威海
