机构名称,床位占用比例,从业人员比例,护理床位比例,空置床位总数,分数,排行
烟台市顺鑫养老服务有限公司,0,34,0.08,315,20.02456899,1
烟台凤翔山庄养老服务中心有限公司,0,10,0,328,6.273963902,2
莱阳德怡老年公寓,0.24,0.21,1,1522,2.657957895,3
烟台力高鹤安养老服务中心有限公司,0,3,1,28,1.821454522,4
烟台市正大城发养老服务有限公司,0.33,0.21,0.61,734,1.372464085,5
招远市金康老年养护中心,0.33,0.32,1,674,1.337678667,6
烟台市芝罘区广济老年人颐养中心,0.07,1.71,0.81,87,1.177779376,7
烟台市九如城养老服务有限公司,0.28,0.33,0.61,558,1.154285333,8
烟台城发榆悦康护医院有限公司,0.19,1.09,1,241,1.073212613,9
烟台高新区御花园老年养护中心,0.54,0.2,0.48,547,1.059301307,10
龙口市同心老年公寓,0.03,0.89,0.85,297,1.050130466,11
莱州桃源山庄老年公寓,0.22,0.56,0.8,388,1.00899359,12
莱阳市经济开发区祥福苑老年公寓,0.26,0.09,1,551,1.005264999,13
莱阳鸿福莱颐养中心,0.19,0.54,0.24,403,0.995406653,14
烟台市芝罘区益健老年人颐养中心,0.1,1.23,0.75,117,0.95139068,15
华录健康养老发展有限公司烟台分公司,0.32,0.21,0.58,466,0.935334354,16
海阳市盛泉养老院,0.03,0.75,0.57,136,0.707228501,17
烟台市芝罘区宝云颐养中心,0.47,0.98,0.87,49,0.696476206,18
烟台舜世养老服务有限公司,0.29,1,1,22,0.664209379,19
烟台芝罘岛老年颐养中心,0.15,0.53,0.26,186,0.637830026,20
烟台市老年福利服务中心,0.72,0.31,0.42,249,0.629852613,21
长岛县砣矶镇敬老院,0.2,1,0.2,8,0.610792687,22
烟台开发区磁山颐生苑老年公寓,0.32,0.55,0.45,149,0.608124042,23
龙口市东江五里桥老年公寓,0.2,0.28,0.7,228,0.587468838,24
烟台市牟平区浩岭湖养老院,0.08,0.67,1,73,0.558503151,25
烟台经济技术开发区社会福利中心,0.35,0.35,0.17,196,0.541356291,26
烟台万汇老年公寓有限公司,0.17,0.23,0.62,216,0.539271642,27
龙口市恒康养老服务中心,0.38,0.26,0.78,202,0.533285024,28
烟台市芝罘区温暖老年公寓,0.52,0.27,0.49,197,0.529602968,29
栖霞市瑞康养老服务有限公司,0.27,0.62,0.34,79,0.522903659,30
烟台市牟平区社会福利中心,0.52,0.31,1,172,0.51278815,31
莱州市文昌敬老院,0.17,0.67,0.29,58,0.512370787,32
烟台市蓬莱区紫荆山街道舒怡苑老年公寓,0.19,0.36,0,184,0.510372675,33
莱州市永安路街道敬老院,0.16,0.67,0.18,46,0.48154525,34
招远市金城老年福利服务中心,0.1,0.18,1,198,0.481355223,35
烟台市芝罘区德信老年颐养中心,0.49,0.35,0.42,142,0.478648482,36
烟台润昌颐养院有限公司,0.1,0.5,0.02,109,0.470525663,37
海阳市医方养老院,0.24,0.36,1.05,130,0.468305637,38
济南鲁商福瑞达护理院有限公司烟台分公司,0.5,0.39,0.48,105,0.447365168,39
烟台经济技术开发区恒达颐养中心,0.55,0.2,0.67,168,0.443129609,40
海阳市老年公寓,0.6,0.22,0.75,159,0.439834438,41
栖霞市盛健老年公寓,0.32,0.09,0.5,204,0.439156505,42
烟台市蓬莱涌泉康护中心,0.55,0.52,1,50,0.434169455,43
龙口市开元养老康复中心,0.7,0.59,1,24,0.431649926,44
烟台莱山区红洁老年养护中心,0.23,0.4,0,120,0.428851163,45
莱州市石都老年公寓,0.37,0.28,0.55,126,0.420804655,46
烟台市芝罘区东方老年颐养中心,0.73,0.53,1,27,0.402083592,47
招远市东城老年公寓,0.34,0.14,0.07,188,0.397648131,48
莱阳德昭颐养中心,0.66,0.4,1,69,0.396157108,49
烟台市芝罘区富昌老年公寓,0.48,0.24,0.99,125,0.396048139,50
烟台市芝罘区天慈颐养中心,0.26,0.35,0.39,89,0.389513492,51
烟台市牟平区康悦老年公寓,0.19,0.46,0.29,55,0.387011907,52
烟台市牟平区社会救助综合服务中心,0.41,0.38,0.2,89,0.387000205,53
龙口市石良镇敬老院,0.18,0.19,0.05,164,0.385396576,54
烟台圣莱恩养老院有限公司,0.68,0.39,1,65,0.383863871,55
烟台市蕾娜范颐养院,0.68,0.41,1,57,0.382284396,56
府林公寓,0.15,0.3,0.23,110,0.378888475,57
莱州市社会福利中心,0.66,0.15,1,138,0.365335072,58
海阳市生生老年公寓,0.17,0.15,1,134,0.359639104,59
栖霞市桃村中心敬老院,0.48,0.23,0.6,104,0.356059272,60
烟台莱山秀林老年福利服务中心,0.75,0.24,0.55,100,0.354812954,61
莱州市柞村镇中心敬老院,0.34,0.25,0.34,105,0.353005978,62
烟台小小养老服务有限公司,0.4,0.5,0.6,6,0.351183088,63
海阳市海大医养院,0.42,0.43,1,29,0.348521708,64
烟台市莱山区圣恩老年公寓,0.32,0.39,0,69,0.339775777,65
海阳市方圆街道办事处敬老院,0.22,0.27,0.55,78,0.337028551,66
莱州市西由颐寿园托老所,0.38,0.5,0.19,16,0.335771055,67
莱州市三山岛街道西由敬老院,0.33,0.19,0.37,110,0.329842859,68
烟台珠玑老年公寓,0.52,0.18,0.56,101,0.322424001,69
招远市多米养老服务有限公司,0.65,0.27,1,68,0.319989962,70
莱阳市康佳老年公寓,0.33,0.28,0.32,74,0.317613079,71
招远市龙馨养老服务中心,0.44,0.2,1,90,0.316086377,72
栖霞市杨础中心敬老院,0.47,0.16,0.57,104,0.315932306,73
栖霞市坤园老年公寓,0.49,0.16,0.21,122,0.315550643,74
烟台市蓬莱区紫荆山老年社会福利中心,0.57,0.24,0.27,89,0.31361289,75
烟台市芝罘区老涞福老人公寓,0.4,0.16,0.86,102,0.312788391,76
招远市阜山镇敬老院,0.42,0.24,1,69,0.304805527,77
招远市金辉老年公寓有限公司,0.16,0.27,1,58,0.304507129,78
海阳市徐家店镇敬老院,0.24,0.19,0.68,84,0.30090288,79
栖霞市爱尚综合养老服务中心,0.28,0.2,1,78,0.296783213,80
高格庄康华老年公寓,0.6,0.5,0,4,0.296361147,81
莱州市金城镇敬老院,0.51,0.22,0.29,83,0.294506666,82
海阳市鑫源老年公寓,0.56,0.12,0.76,105,0.2944719,83
招远市祥和圆老年公寓有限公司,0.45,0.12,1,101,0.288133337,84
莱州市沙河镇敬老院,0.39,0.18,0.5,79,0.286758664,85
龙口市黄山馆镇敬老院,0.46,0.38,0.36,15,0.282601846,86
金岭镇敬老院,0.42,0.24,1,52,0.277076076,87
烟台市牟平区兴华老年公寓,0.65,0.22,1,59,0.276635468,88
龙口市枫晚老年公寓,0.81,0.31,1,26,0.274150698,89
莱阳市温馨老年公寓,0.43,0.19,0.2,86,0.273111004,90
海阳市和平南山老年公寓,0.67,0.2,0.53,62,0.270025401,91
家和兴老年公寓,0.28,0.36,0,36,0.268811142,92
海阳市小纪镇敬老院,0.4,0.15,0.62,78,0.267906091,93
龙口市新嘉街道敬老院,0.44,0.23,0.4,56,0.267587703,94
海阳市福泰老年公寓,0.53,0.17,0.57,70,0.266106781,95
烟台市芝罘区康乐老年公寓,0.85,0.32,0.98,17,0.265137598,96
莱阳市夕阳红老年公寓有限公司,0.23,0.19,0,93,0.264378643,97
烟台市牟平区馨慧老年公寓,0.28,0.24,0.67,43,0.262632524,98
烟台和悦天伦养老院有限公司,0.44,0.26,1,35,0.260782483,99
烟台市牟平区德源老年公寓,0.52,0.18,1,63,0.260440522,100
烟台市芝罘区幸福龙海老年人颐养中心,0.69,0.29,0.12,47,0.258209673,101
海阳市荣庆老年公寓,0.44,0.25,0.66,36,0.256678788,102
招远市福康养老有限责任公司,0.47,0.25,1,36,0.256628056,103
烟台市芝罘区恒爱亲情养老护理服务中心,0.7,0.21,1,50,0.256135779,104
栖霞市鹤园颐养院,0.78,0.24,0.64,39,0.255262428,105
栖霞爱高养老公寓,0.25,0.11,0.05,112,0.254579991,106
莱州市颐寿养老院,0.76,0.29,0.49,21,0.253585421,107
栖霞市翠屏街道御椿苑综合养老服务中心,0.64,0.23,0.91,40,0.251395478,108
烟台市莱山区清泉养生苑,1.33,0.44,0.7,-35,0.248324474,109
龙口市东莱街道遇家敬老院,0.76,0.2,0.8,48,0.247037189,110
招远市新亚永宁老年公寓,0.6,0.29,0.05,44,0.246297432,111
招远市锦江老年人日间照料中心,0.55,0.32,0.25,18,0.241665331,112
莱州市老年康复中心,1.01,0.33,1,-1,0.241241276,113
莱州市驿道镇中心敬老院,0.59,0.16,0.48,59,0.240279036,114
海阳市夕阳红老年公寓,0.64,0.24,0.62,29,0.239187731,115
烟台市牟平区人民政府大窑街道敬老院,0.43,0.23,0.19,51,0.237935886,116
莱州市朱桥镇敬老院,0.64,0.16,0.41,62,0.237916914,117
龙口市海岱老年公寓,0.53,0.23,0.55,31,0.236901194,118
烟台市芝罘区进德老年公寓,0.35,0.22,0.37,42,0.236095752,119
莱州市虎头崖镇敬老院,0.58,0.18,0.38,54,0.233365615,120
沙河镇养老服务中心,0.43,0.27,0.17,34,0.231096935,121
海阳市行村镇敬老院,0.38,0.13,0.75,62,0.230371926,122
烟台市芝罘区福盛老年公寓,0.81,0.23,1,27,0.229903127,123
莱州市文峰路街道敬老院,0.52,0.21,0.33,44,0.229238009,124
招远市蚕庄镇敬老院,0.58,0.2,1,36,0.227767845,125
烟台市牟平区人民政府武宁街道敬老院,0.44,0.26,0,45,0.225872479,126
莱州市程郭镇敬老院,0.58,0.15,0.33,63,0.22571925,127
招远市夏甸镇敬老院,0.49,0.13,0.06,85,0.222627356,128
烟台市牟平区福满老年公寓,0.4,0.21,0.29,42,0.22208093,129
龙口市康乐福老年公寓,0.63,0.23,0.43,26,0.221405367,130
招远市滨海老年公寓,0.63,0.18,0.29,52,0.220798915,131
海阳市聚福德老年公寓,0.63,0.25,0.58,14,0.220472318,132
龙口市龙港街道敬老院,0.76,0.22,0.6,24,0.219359407,133
莱州市土山镇敬老院,0.65,0.19,0.52,34,0.218652345,134
莱州市平里店镇敬老院,0.6,0.19,0.48,35,0.218319183,135
莱州市夏邱镇敬老院,0.62,0.17,0.4,47,0.218193983,136
栖霞市福寿康养老中心,0.97,0.28,1,2,0.217528153,137
招远金汇老年公寓,0.78,0.31,0.16,11,0.214903683,138
龙口市东莱街道敬老院,0.74,0.19,0.58,31,0.213606719,139
招远市禄良养老服务有限公司,0.31,0.16,0.05,69,0.213013526,140
东江街道敬老院,0.59,0.15,0.42,49,0.212086181,141
栖霞市夕阳红老年公寓,0.72,0.12,0.19,74,0.211878568,142
龙口市下丁家田原山庄老年公寓,0.61,0.16,0.78,40,0.211302333,143
海阳市大成老年公寓,0.72,0.18,0.57,33,0.211167989,144
烟台市蓬莱区紫荆山街道敬老院,0.75,0.28,0.06,25,0.210341626,145
海阳市里店镇敬老院,0.58,0.2,0.5,25,0.209825259,146
烟台市芝罘区金色家园老年公寓,0.76,0.19,0.72,28,0.208679465,147
烟台市牟平区水道镇敬老院,0.4,0.12,0.17,72,0.207108554,148
烟台为民养老服务有限公司,0.88,0.25,1,6,0.207000405,149
莱阳市安泰老年公寓,0.42,0.21,0.06,46,0.205009821,150
龙口市七甲镇敬老院,0.55,0.16,0.06,63,0.20384524,151
莱阳市天福老年公寓,0.52,0.27,0.06,24,0.203364581,152
烟台市牟平区莒格庄镇敬老院,0.55,0.21,0.39,23,0.201079823,153
海阳市发城镇敬老院,0.59,0.15,0.5,37,0.200707882,154
龙口市芦头镇敬老院,0.44,0.23,0.01,39,0.199905525,155
蓬莱顺康养老服务有限公司,0.8,0.2,1,19,0.199666366,156
莱阳市爱心老年公寓,0.54,0.19,0.12,46,0.199483791,157
招远市玲珑镇敬老院,0.5,0.23,0.07,35,0.199426059,158
烟台市芝罘区奇山康宁老年公寓,0.62,0.19,0.45,23,0.195638345,159
莱州市三山岛街道过西敬老院,0.51,0.15,0.33,44,0.194845883,160
烟台国康养老服务有限公司,0.52,0.16,1,29,0.193511941,161
海阳市辛安镇敬老院,0.39,0.1,0.94,49,0.191945623,162
烟台市牟平区福康老年看护服务中心,0.36,0.11,0.2,64,0.191465489,163
烟台市牟平区观水镇敬老院,0.56,0.18,0.25,35,0.18909012,164
海阳市以马内利老年公寓,0.46,0.17,0.54,21,0.186299089,165
烟台市牟平区高陵镇下雨村敬老院,0.56,0.17,0.16,42,0.18555343,166
招远市张星镇敬老院,0.59,0.14,0.08,57,0.184569912,167
招远市毕郭镇敬老院,0.62,0.14,1,30,0.183504302,168
莱州市夏邱镇老年服务中心,0.57,0.12,0.4,43,0.183079761,169
招远市齐山镇敬老院,0.44,0.14,0.03,56,0.17807028,170
莱阳市金安达老年服务中心,0.73,0.09,0.08,70,0.176863844,171
龙口市兰高镇敬老院,0.49,0.17,0.07,42,0.176451943,172
龙口市诸由观镇敬老院,0.73,0.16,0.42,23,0.175174526,173
莱州市城港路街道敬老院,0.71,0.19,0.25,23,0.174997574,174
海阳市坤元养老院,0.52,0.12,0.54,31,0.173834872,175
烟台经济技术开发区金东颐养中心,0.98,0.2,1,3,0.173263672,176
莱阳市康达老年公寓,0.9,0.19,0.21,24,0.172209705,177
烟台市牟平区温馨老年公寓,0.5,0.17,0.2,30,0.170178878,178
莱阳市天乐老年公寓,0.51,0.16,0.13,37,0.168674135,179
龙口市徐福街道敬老院,0.57,0.17,0.12,34,0.168389651,180
烟台市牟平区幸福老年公寓,0.62,0.16,0.33,23,0.16614068,181
龙口市下丁家镇敬老院,0.6,0.21,0.15,16,0.164990969,182
烟台市牟平区儒家老年公寓,0.71,0.11,1,29,0.164516446,183
海阳市幸福老年公寓,0.5,0.12,0.56,25,0.164081827,184
烟台市夕阳红老年公寓,0.71,0.22,0,21,0.163329081,185
烟台市牟平区文化街道办事处敬老院,0.76,0.2,0.14,17,0.159592278,186
莱阳市怡康老年公寓,0.88,0.09,0.5,32,0.157652724,187
烟台市芝罘区君祥老年公寓,0.42,0.09,0.75,31,0.156799457,188
烟台市牟平区福元老年公寓,0.67,0.15,1,10,0.156531706,189
海阳市康馨老年公寓,1.01,0.19,0.45,-1,0.15583138,190
招远市金都老年福利中心,0.94,0.21,0.05,17,0.155802871,191
海阳市盘石店镇敬老院,0.63,0.1,0.56,23,0.149130025,192
烟台市芝罘区黄务老年公寓,0.91,0.12,0.97,16,0.148708204,193
烟台市牟平区龙泉镇敬老院,0.75,0.11,0.19,38,0.147371807,194
莱阳市金色晚年老年公寓,0.6,0.1,0.08,48,0.146933347,195
莱阳市颐养院老年公寓,0.79,0.15,0.21,22,0.146194073,196
烟台市牟平区王格庄镇敬老院,0.82,0.17,0.3,9,0.145628007,197
莱阳市康泰山庄老年公寓,0.54,0.11,0.02,45,0.141729643,198
烟台市牟平区桃源老年公寓,0.79,0.15,0.26,16,0.141529353,199
海阳市阳光老年公寓,0.94,0.13,0.58,8,0.141343158,200
招远金街养老服务中心,0.98,0.15,1,1,0.141327186,201
栖霞平安老年公寓,0.59,0.15,0.12,23,0.138943565,202
烟台市莱山区弘翔老年公寓,0.77,0.19,0,16,0.13786738,203
海阳市留格庄镇敬老院,0.78,0.08,0.51,22,0.135775546,204
南长山敬老院,0.8,0.19,0.15,4,0.133609352,205
海阳市吉利老年公寓,1.01,0.14,0.5,-1,0.132279327,206
莱州市郭家店镇敬老院,0.92,0.12,0.45,9,0.13215114,207
烟台市牟平区姜格庄街道敬老院,0.74,0.12,0.24,21,0.13051625,208
招远市康璐老年公寓,0.52,0.15,0,24,0.128399935,209
海阳市招虎山老年公寓,1.16,0.14,0.64,-8,0.120607662,210
招远市轮胎西区老年公寓,1.19,0.23,0.02,-10,0.11973561,211
烟台市芝罘区宏盛养老院,1.49,0.17,0.88,-21,0.116049263,212
莱阳鸿杰龙旺庄养老公寓,0.76,0.16,0,12,0.114155195,213
御华老年公寓,0.88,0.17,0.03,5,0.111342387,214
烟台市牟平区福荣老年公寓,0.79,0.12,0.19,11,0.108998111,215
莱阳鸿杰沐浴店养老公寓,0.67,0.09,0,33,0.108417541,216
莱阳鸿杰柏林庄养老公寓,0.78,0.15,0,11,0.106755391,217
益寿康老年公寓,0.78,0.14,0,14,0.105913984,218
万第老来乐老年公寓,0.89,0.15,0,9,0.103307088,219
烟台市牟平区玉林店镇敬老院,0.94,0.12,0.21,4,0.099375304,220
烟台市牟平区紫宸老年公寓,1,0.15,0.1,0,0.098685065,221
蓬莱市夕阳红养老服务有限公司,0.94,0.13,0,1,0.078703704,222
海阳市鹤童村老年护理中心,1.02,0.05,0.67,-3,0.077386574,223
烟台只楚老年公寓有限公司,2.06,0.13,0.85,-35,0.069309995,224
