序号,机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,烟台市芝罘区黄务街道蓁山社区老年人日间照料中心,121.35341434745702,37.51624299643886,0,50,NoClass,bd09,,删除
2,烟台市芝罘区只楚街道西牟社区日间照料中心,121.31619584339816,37.488201802153576,0,50,村庄,bd09,,删除
3,烟台市芝罘区凤凰台街道东台社区老年人日间照料中心,121.33928813399042,37.542864552091125,1,70,地产小区,bd09,,删除
4,烟台市芝罘区向阳街道建昌街社区老年人日间照料中心,121.40618943684602,37.540256392521535,0,25,乡镇,bd09,,删除
5,烟台市芝罘区毓璜顶街道毓东社区老年人日间照料中心,121.40108113273298,37.53063535729199,1,70,政府机构,bd09,,删除
6,烟台市芝罘区奇山街道社区老年人日间照料中心,121.40944202143656,37.533182187967036,0,25,乡镇,bd09,,删除
7,烟台市芝罘区白石街道青华社区老年人日间照料中心,121.3790532443395,37.53708414388021,0,50,NoClass,bd09,,删除
8,烟台市芝罘区芝罘岛街道海悦花园社区老年人日间照料中心,121.39270218808866,37.610233465956995,0,50,NoClass,bd09,,删除
9,烟台市芝罘区凤凰台街道社区老年人日间照料中心,121.33342839731827,37.546004364860934,0,25,乡镇,bd09,,删除
10,烟台市芝罘区白石街道白春社区老年人日间照料中心,121.37283580241329,37.53828016448827,0,25,乡镇,bd09,,删除
11,烟台市芝罘区白石街道长青社区日间照料中心,121.36696456743063,37.54527748807312,1,70,地产小区,bd09,,删除
12,烟台市芝罘区奇山街道塔山社区老年人日间照料中心,121.41286564339617,37.51811341036255,0,50,NoClass,bd09,,删除
13,烟台市芝罘区奇山街道奇南社区老年人日间照料中心,121.40944202143656,37.533182187967036,0,25,乡镇,bd09,,删除
14,烟台市芝罘区奇山街道迎东社区老年人日间照料中心,121.40944202143656,37.533182187967036,0,25,乡镇,bd09,,删除
15,烟台市芝罘区奇山街道长生社区老年人日间照料中心,121.43804227226322,37.53622562107735,1,70,地产小区,bd09,,删除
16,烟台市芝罘区奇山街道四眼桥社区老年人日间照料中心,121.41762567446301,37.53917886620786,1,70,政府机构,bd09,,删除
17,烟台市芝罘区向阳街道兴隆街社区老年人日间照料中心,121.39966854731854,37.54693809276885,0,30,道路,bd09,,删除
18,烟台市芝罘区向阳街道友谊街社区老年人日间照料中心,121.40098357675461,37.53875430379418,0,30,道路,bd09,,删除
19,烟台市芝罘区向阳街道胜利路社区老年人日间照料中心,121.40427981899292,37.54227298341632,0,30,道路,bd09,,删除
20,烟台市芝罘区向阳街道所城里社区老年人日间照料中心,121.40618943684602,37.540256392521535,0,25,乡镇,bd09,,删除
21,清洋朱甲山日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
22,清洋街道办事处南关社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
23,清洋街道办事处下夼社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
24,福新街道垆上居委会日间照料中心,121.23034577394563,37.540718358430205,0,50,NoClass,bd09,,删除
25,福新街道大杨家居委会日间照料中心,121.19146127248798,37.533352026023366,0,50,NoClass,bd09,,删除
26,福新街道小杨家居委会日间照料中心,121.19146127248798,37.533352026023366,0,50,NoClass,bd09,,删除
27,福新街道小河子居委会日间照料中心,121.19681113095264,37.535463951847426,0,50,NoClass,bd09,,删除
28,清洋街道星河城社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
29,清洋街道云龙山社区日间照料中心,121.24015347350358,37.49219052397582,1,70,地产小区,bd09,,删除
30,清洋街道福惠社区日间照料中心,121.26764413736433,37.51418419128861,0,25,乡镇,bd09,,删除
31,清洋街道上夼社区日间照料中心,121.2463089323496,37.51309991621482,0,50,村庄,bd09,,删除
32,高新区福山园泊子社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
33,高新区福山园永福园社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
34,清洋街道史家庄社区城市日间照料中心,121.26447958671378,37.500901371108355,1,70,地产小区,bd09,,删除
35,清洋街道栾家疃社区城市日间照料中心　,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
36,高新区万科社区城市日间照料中心,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
37,高新区姜刘疃社区城市日间照料中心　,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
38,高新区小陈家社区城市日间照料中心　,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
39,高新区永达街社区城市日间照料中心　,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
40,东厅街道乡村记忆社区日间照料中心,121.21619009605831,37.47883230721227,1,70,地产小区,bd09,,删除
41,门楼镇富丽社区日间照料中心,121.249914461175,37.422850251146876,0,25,乡镇,bd09,,删除
42,清洋街道宋家疃社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
43,门楼镇卫城润景社区日间照料中心,121.29051853216936,37.48201613988373,1,70,地产小区,bd09,,删除
44,牟平区为民日间照料中心,121.60654911474143,37.392915451795815,0,20,区县,bd09,,删除
45,牟平区宁海街道盐滩老年人日间照料中心,121.60319609959488,37.434971027790674,0,50,村庄,bd09,,删除
46,牟平区宁海街道新牟老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
47,牟平区宁海街道北翠里老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
48,牟平区宁海街道石棚老年人日间照料中心,121.61555354951236,37.39688098903755,0,25,乡镇,bd09,,删除
49,牟平区宁海街道董家疃老年人日间照料中心,121.60394762198453,37.39921167464836,1,70,政府机构,bd09,,删除
50,牟平区宁海街道邵家塂老年人日间照料中心,121.62720484146841,37.40725996564135,0,50,村庄,bd09,,删除
51,牟平区宁海街道东系山老年人日间照料中心,121.64099428019934,37.43346178784862,0,50,村庄,bd09,,删除
52,牟平区宁海街道富苑新城老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
53,牟平区宁海街道高金埠村老年人日间照料中心,121.61237255987095,37.41600143038598,0,50,村庄,bd09,,删除
54,牟平区宁海街道金岭村老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
55,牟平区宁海街道富海老年人日间照料中心,121.61555354951236,37.39688098903755,0,25,乡镇,bd09,,删除
56,牟平区宁海街道王家疃老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
57,牟平区宁海街道城北村老年人日间照料中心,121.60415584920175,37.407562596250514,1,70,政府机构,bd09,,删除
58,牟平区宁海街道西油坊老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
59,牟平区文化街道雷神庙社区夕阳红老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
60,牟平区文化街道康乐老年人日间照料中心,121.61952208359432,37.38639762628093,1,70,政府机构,bd09,,删除
61,牟平区文化街道照格庄老年人日间照料中心,121.62052477220455,37.377145748299014,0,50,村庄,bd09,,删除
62,牟平区文化街道王贺庄老年人日间照料中心,121.60866534286183,37.3905623483151,0,50,NoClass,bd09,,删除
63,牟平区文化街道福元老年人日间照料中心,121.61987359054038,37.38138719254356,1,70,政府机构,bd09,,删除
64,牟平区文化街道文化里老年人日间照料中心,121.60866534286183,37.3905623483151,0,50,NoClass,bd09,,删除
65,牟平区文化街道农商里老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
66,牟平区文化街道沙家庄老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
67,牟平区文化街道芙蓉河社区荣华老年人日间照料中心,121.59641245570573,37.38263425901947,1,70,政府机构,bd09,,删除
68,烟台市牟平区文化街道正阳老年人日间照料中心,121.59983769461529,37.387686399037804,0,25,乡镇,bd09,,删除
69,牟平区文化街道庙沟村老年人日间照料中心,121.60866534286183,37.3905623483151,0,50,NoClass,bd09,,删除
70,牟平区文化街道新建里老年人日间照料中心,121.60718313877037,37.398260244273956,0,50,NoClass,bd09,,删除
71,牟平区文化街道老年人日间照料中心,121.61037877079157,37.37892124268666,1,70,政府机构,bd09,,删除
72,牟平区文化街道西关老年人日间照料中心,121.5965261811833,37.39107183891732,1,70,政府机构,bd09,,删除
73,牟平区广联老年人日间照料中心,121.60654911474143,37.392915451795815,0,20,区县,bd09,,删除
74,牟平区南山老年人日间照料中心,121.60654911474143,37.392915451795815,0,20,区县,bd09,,删除
75,牟平区养马岛街道张家庄老年人日间照料中心,121.61422818956292,37.45970356003606,1,70,政府机构,bd09,,删除
76,牟平区养马岛街道孙家疃老年人日间照料中心,121.65046268976614,37.484009912370915,0,50,村庄,bd09,,删除
77,牟平区养马岛街道马埠崖老年人日间照料中心,121.63689917487099,37.47968247530668,1,70,政府机构,bd09,,删除
78,牟平区养马岛街道黄家庄老年人日间照料中心,121.60103019517977,37.46023198304832,0,50,村庄,bd09,,删除
79,牟平区养马岛街道洪口老年人日间照料中心,121.6237168110037,37.4624958738911,0,50,村庄,bd09,,删除
80,牟平区养马岛街道益寿老年人日间照料中心,121.62598431377201,37.47187323412183,0,25,乡镇,bd09,,删除
81,牟平区养马岛街道驼子村老年人日间照料中心,121.62721687876224,37.47081497506058,0,50,村庄,bd09,,删除
82,牟平区武宁街道新安老年人日间照料中心,121.56776962519788,37.37409728486007,0,25,乡镇,bd09,,删除
83,牟平区宁海街道星泰老年人日间照料中心,121.61555354951236,37.39688098903755,0,25,乡镇,bd09,,删除
84,南山世纪华府社区日间照料中心,121.4612395747696,37.47412423979286,1,70,地产小区,bd09,,删除
85,东轸社区日间照料中心,121.4917235722507,37.435853289971476,1,70,地产小区,bd09,,删除
86,西轸村日间照料中心,121.48757402960845,37.43948531162556,0,50,村庄,bd09,,删除
87,学府小区日间照料中心,121.46495685280043,37.44832748046714,1,70,地产小区,bd09,,删除
88,福地隆城社区日间照料中心,121.47948272238844,37.45521127525563,0,70,地产小区,bd09,,删除
89,莱龙庄村日间照料中心,121.46269051782932,37.44171258855932,0,50,村庄,bd09,,删除
90,万光府前花园综合养老服务中心,121.44999395758184,37.46504598027373,1,70,地产小区,bd09,,删除
91,秀林日间照料中心,120.5529962007653,37.465833006792735,0,50,NoClass,bd09,,删除
92,金地格林日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
93,初家街道日间照料中心,121.43897426422983,37.47078268288547,0,25,乡镇,bd09,,删除
94,曹家社区照料中心,120.27107586222752,37.45035989789725,0,50,村庄,bd09,,删除
95,河西社区照料中心,117.2294162800198,39.115718082215515,0,20,区县,bd09,,删除
96,凤凰社区日间照料中心,121.25240636065968,36.71341662731979,1,70,地产小区,bd09,,删除
97,迎春佳苑社区日间照料中心,121.43336775988097,37.46062956893303,0,70,地产小区,bd09,,删除
98,福道家园日间照料中心,121.42468949984071,37.45911519356828,1,70,地产小区,bd09,,删除
99,远陵夼照料中心,121.41544404970148,37.490642720402334,0,50,村庄,bd09,,删除
100,迟家社区日间照料中心,121.4488073858337,37.51489970967694,0,70,地产小区,bd09,,删除
101,前七夼社区日间照料中心,121.4487392044455,37.5220914337103,0,50,NoClass,bd09,,删除
102,海滨社区日间照料中心,121.44218175388376,37.5299825921648,1,70,地产小区,bd09,,删除
103,黄海社区日间照料中心,121.45218537387342,37.49830160903757,1,70,地产小区,bd09,,删除
104,岱山社区日间照料中心,121.45225499255044,37.505577964588305,1,70,地产小区,bd09,,删除
105,清泉寨社区日间照料中心,121.4584630022688,37.48958064917009,1,70,地产小区,bd09,,删除
106,金海岸日间照料中心,121.27665584840989,37.57132793006262,1,75,宾馆,bd09,,删除
107,南陈家疃日间照料中心,121.40997902847042,37.410992275880425,0,50,村庄,bd09,,删除
108,贾家疃日间照料中心,121.43302775124543,37.40575381718101,0,50,村庄,bd09,,删除
109,祁家屯日间照料中心,121.43302433768449,37.43226758393359,0,50,村庄,bd09,,删除
