序号,机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,高疃幸福院,121.1116488940291,37.484616479334676,0,25,乡镇,bd09,,删除
2,高疃义井幸福院,121.15570979115746,37.47283181189814,0,50,村庄,bd09,,删除
3,高疃赵家庄幸福院,121.15775262771771,37.47916041955783,0,50,村庄,bd09,,删除
4,张格庄台上幸福院,121.15601189130048,37.42495443889374,0,50,村庄,bd09,,删除
5,回里西道平幸福院,120.0189922920509,37.29810130776986,1,70,政府机构,bd09,,删除
6,门楼两甲幸福院,121.249914461175,37.422850251146876,0,25,乡镇,bd09,,删除
7,门楼肖家幸福院,120.44673150978468,37.699833000302725,0,50,村庄,bd09,,删除
8,张格庄镇车家村幸福院,121.21022319153883,37.36735130609845,0,50,村庄,bd09,,删除
9,门楼镇贾家疃社区农村幸福院,121.30170375009735,37.46188855296568,0,50,村庄,bd09,,删除
10,门楼镇楼底社区农村幸福院,121.29675588334838,37.45577861766352,0,50,村庄,bd09,,删除
11,回里镇西回里村幸福院,121.3250482848768,37.34353957704949,0,25,乡镇,bd09,,删除
12,回里镇胡家夼村幸福院,121.30293604559594,37.34364235753258,0,50,村庄,bd09,,删除
13,高疃镇东罗格庄村幸福院,121.10566456238273,37.504434805490405,0,50,村庄,bd09,,删除
14,高疃镇西罗格庄村幸福院,121.1026453575637,37.50685951562415,0,50,村庄,bd09,,删除
15,张格庄镇楼子口村幸福院,121.23019647556988,37.38310072073777,0,50,村庄,bd09,,删除
16,回里镇巨甲幸福院,121.32396879114546,37.32372216943121,0,50,村庄,bd09,,删除
17,回里解村社区农村幸福院,121.33642685128004,37.38343491972676,0,50,村庄,bd09,,删除
18,回里后富社区农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
19,门楼楚塘社区农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
20,门楼邱家庄社区农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
21,门楼周家岘社区农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
22,张格庄杜家崖社区农村幸福院,121.14470491984638,37.38240916349044,0,50,村庄,bd09,,删除
23,张格庄上官社区农村幸福院,121.18732089256194,37.38464653975875,0,25,乡镇,bd09,,删除
24,高疃上疋山夼社区农村幸福院,121.15131357382218,37.49908148282746,0,50,村庄,bd09,,删除
25,高疃东宋社区农村幸福院,121.1116488940291,37.484616479334676,0,25,乡镇,bd09,,删除
26,高疃古上社区农村幸福院,121.1369062805615,37.46940212554017,0,50,村庄,bd09,,删除
27,回里镇谭家庄农村幸福院,121.30544195864658,37.326867250111036,0,50,村庄,bd09,,删除
28,张格庄社区农村幸福院,121.18732089256194,37.38464653975875,0,25,乡镇,bd09,,删除
29,黑石社区农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
30,蓬莱庄社区农村幸福院,120.92939941453707,37.81633310958611,1,70,政府机构,bd09,,删除
31,刘家庄社区农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
32,高疃镇湘河社区农村幸福院,121.14011134479055,37.467502913195915,0,50,村庄,bd09,,删除
33,高疃镇湘里社区农村幸福院,121.07390811514675,37.524460472348025,0,50,村庄,bd09,,删除
34,东厅街道解字崖社区农村幸福院,121.17773480497331,37.446095603241055,0,50,村庄,bd09,,删除
35,回里镇东回里社区农村幸福院,121.33376759747884,37.33983508150824,0,50,村庄,bd09,,删除
36,高疃镇邹格庄社区农村幸福院,121.10481225011488,37.4910721401751,0,50,村庄,bd09,,删除
37,回里镇善疃社区农村幸福院,121.27215740390756,37.3151683190786,0,50,村庄,bd09,,删除
38,张格庄镇院口社区农村幸福院,121.20508488402176,37.36794957765964,0,50,村庄,bd09,,删除
39,回里镇刘村社区农村幸福院,121.3250482848768,37.34353957704949,0,25,乡镇,bd09,,删除
40,门楼镇上许家社区农村幸福院,121.24732428706753,37.37226266921426,0,50,村庄,bd09,,删除
41,张格庄镇黄莲墅社区农村幸福院,121.18732089256194,37.38464653975875,0,25,乡镇,bd09,,删除
42,高疃镇寨子社区农村幸福院,121.14799550275998,37.46747183685411,0,50,村庄,bd09,,删除
43,臧家庄镇东庄村幸福院,121.00607374235793,37.47580670356225,0,50,村庄,bd09,,删除
44,臧家庄镇大台村幸福院,121.00120286039117,37.47789041696286,0,50,村庄,bd09,,删除
45,臧家庄镇槐树庄村幸福院,120.95667358676992,37.44700000829564,0,50,村庄,bd09,,删除
46,臧家庄镇大栾家农村幸福院,121.01431812083685,37.46030158937662,0,50,村庄,bd09,,删除
47,臧家庄镇北洛汤村农村幸福院,120.87862889389358,37.468306668892744,0,50,村庄,bd09,,删除
48,臧家庄镇臧家庄村农村幸福院,120.99813820131332,37.47207521811573,0,50,村庄,bd09,,删除
49,经济开发区东泊子村幸福院,121.51673868578706,37.444530291046384,0,50,村庄,bd09,,删除
50,开发区御家沟村幸福院,120.77081264963611,37.407910587678955,0,50,村庄,bd09,,删除
51,开发区南桥村幸福院,121.06025602732831,37.46955857710958,0,50,村庄,bd09,,删除
52,开发区小夼村幸福院,121.10336570875215,37.463188332547794,0,50,村庄,bd09,,删除
53,开发区中桥村幸福院,121.05257030504603,37.476142919666984,0,50,村庄,bd09,,删除
54,开发区小潘家村幸福院,121.09138554714889,37.50205825484581,0,50,村庄,bd09,,删除
55,开发区泗水村幸福院,121.04989955293433,37.46997759359924,0,50,村庄,bd09,,删除
56,开发区燕地村幸福院,121.04945444255414,37.492177997369076,0,50,村庄,bd09,,删除
57,经济开发区曹家庄农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
58,经济开发区东山农村幸福院,121.41069515762298,37.53971494877864,0,25,乡镇,bd09,,删除
59,经济开发区东杏山村幸福院,121.08723905874538,37.46104498375145,0,50,村庄,bd09,,删除
60,经济开发区潘家社区老年人日间照料中心,120.8192524268034,37.28354078516011,0,70,政府机构,bd09,,删除
61,经济开发区水道观村幸福院,121.03458551009187,37.471877816536875,0,50,村庄,bd09,,删除
62,经济开发区水道观社区照料中心,121.03458551009187,37.471877816536875,0,50,村庄,bd09,,删除
63,经济开发区杏山社区照料中心,121.44691708154906,37.35734001197736,0,50,NoClass,bd09,,删除
64,经济开发区油家泊农村幸福院,120.72352000860505,36.934760813595254,1,70,政府机构,bd09,,删除
65,经济开发区中桥社区老年人日间照料中心,120.8192524268034,37.28354078516011,0,70,政府机构,bd09,,删除
66,经济开发区朱家村幸福院,120.28928460474532,37.41903499151576,0,50,村庄,bd09,,删除
67,观水镇辽上村幸福院,121.19987138833349,37.09709658676784,0,50,村庄,bd09,,删除
68,观水镇崮山前村幸福院,121.23012308400972,37.15987036705538,0,50,村庄,bd09,,删除
69,观水镇崖地村幸福院,121.22335839436681,37.18494136618762,0,50,村庄,bd09,,删除
70,观水镇金鸡庄村幸福院,121.33835102168241,37.20478162479169,0,50,村庄,bd09,,删除
71,观水镇泥村幸福院,121.23576767651221,37.21740218705415,0,50,村庄,bd09,,删除
72,观水镇宫格庄村幸福院,121.23836162350281,37.242951786839605,0,50,村庄,bd09,,删除
73,观水镇观水村幸福院,121.2717925122094,37.22118324209451,0,50,村庄,bd09,,删除
74,观水镇郝庄村幸福院,121.30374838326861,37.17467971034116,0,50,村庄,bd09,,删除
75,姜格庄街道酒馆幸福院,121.89456328836725,37.43761040463326,0,50,村庄,bd09,,删除
76,姜格庄街道邹革庄幸福院,121.8278662601846,37.40972891670462,0,50,村庄,bd09,,删除
77,姜格庄街道紫岘口幸福院,121.73565034873563,37.41796609040632,0,50,村庄,bd09,,删除
78,姜格庄街道沙家疃幸福院,121.74357277451978,37.41045977583236,0,50,村庄,bd09,,删除
79,姜格庄街道姜格庄幸福院,121.82547407261154,37.42338466846917,0,50,商圈,bd09,,删除
80,莒格庄镇西仙姑村幸福院,121.66348003491123,37.18335596829337,0,50,村庄,bd09,,删除
81,莒格庄镇院下村幸福院,121.76692763981258,37.176836055674215,0,50,村庄,bd09,,删除
82,莒格庄镇杨家盘村幸福院,121.7522992735659,37.157617471366926,0,50,村庄,bd09,,删除
83,莒格庄镇张皮村幸福院,121.73824501437065,37.15164743410962,0,50,村庄,bd09,,删除
84,莒格庄镇杨家夼村幸福院,121.67962015950067,37.13628714053088,0,50,村庄,bd09,,删除
85,莒格庄镇曲河庄村幸福院,121.66118450501105,37.175524586447494,0,50,村庄,bd09,,删除
86,莒格庄福禄地幸福院,121.65650595025397,37.14799051015155,0,50,村庄,bd09,,删除
87,水道镇南台村幸福院,121.59016923241138,37.12887271195913,0,50,村庄,bd09,,删除
88,水道镇大疃村幸福院,121.57738472805448,37.19618596771885,0,50,村庄,bd09,,删除
89,水道镇西直格庄村幸福院,121.58898301998545,37.21294325788661,0,50,村庄,bd09,,删除
90,水道镇徐家寨村幸福院,121.5590872329523,37.17070773761397,0,50,村庄,bd09,,删除
91,水道镇念头村幸福院,121.46864646302157,37.140262735484555,0,50,村庄,bd09,,删除
92,水道镇通海村幸福院,121.50175090750584,37.12180378477059,0,50,村庄,bd09,,删除
93,水道镇东石桥村幸福院,121.50909940589965,37.14370112397405,0,50,村庄,bd09,,删除
94,水道镇牟家沟村幸福院,121.4967839068495,37.155249675695586,0,50,村庄,bd09,,删除
95,水道镇前院夼村幸福院,121.50131082763649,37.13171735900916,0,50,村庄,bd09,,删除
96,王格庄镇宋家幸福院,121.42788908440615,37.2341410777846,0,50,村庄,bd09,,删除
97,王格庄镇韩家庄幸福院,121.41399526257497,37.1756065359755,0,25,乡镇,bd09,,删除
98,王格庄镇杜家幸福院,121.40762627650923,37.1457699064446,0,50,村庄,bd09,,删除
99,王格庄镇于家幸福院,121.41399526257497,37.1756065359755,0,25,乡镇,bd09,,删除
100,王格庄镇四甲幸福院,121.37445095572023,37.196493121335415,0,50,村庄,bd09,,删除
101,王格庄镇前柳林夼幸福院,121.33522006765794,37.15591191821706,0,50,村庄,bd09,,删除
102,王格庄镇峨山夼村幸福院,121.42267810397333,37.16360702053102,0,50,村庄,bd09,,删除
103,王格庄镇西嵩阳后村幸福院,121.42253446492226,37.1315245927665,0,50,村庄,bd09,,删除
104,文化街道王家窑幸福院,121.61045027591015,37.36779226654808,0,50,村庄,bd09,,删除
105,文化街道金龙庄幸福院,121.61337866204214,37.37010357355458,0,50,村庄,bd09,,删除
106,武宁街道南自格庄社区幸福院,121.52678219054137,37.34724546613237,0,50,村庄,bd09,,删除
107,武宁街道吕家疃社区幸福院,121.53168065048727,37.36963860768044,0,50,村庄,bd09,,删除
