序号,机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,毓璜顶街道文化苑社区市民社区食堂,121.39247635408346,37.54440611346571,1,80,餐饮,bd09,,删除
2,天府市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
3,德胜市民社区食堂,121.37858585598268,37.552810136922005,1,80,餐饮,bd09,,删除
4,海澜社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
5,蓝海社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
6,毓西社区市民社区食堂,121.39247635408346,37.54440611346571,1,80,餐饮,bd09,,删除
7,西海岸社区市民社区食堂,121.37653879738653,37.605256809638725,1,80,餐饮,bd09,,删除
8,西炮台社区市民社区食堂,121.3710123320586,37.551925190261635,1,80,餐饮,bd09,,删除
9,华茂社区市民社区食堂,121.40058104605558,37.54694059623672,1,80,餐饮,bd09,,删除
10,翡翠社区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
11,万科御龙山市民社区食堂,121.4304853669911,37.498693551040255,1,80,餐饮,bd09,,删除
12,南通社区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
13,顺河社区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
14,海岸路社区市民社区食堂,119.9390571152288,37.38706678161907,0,30,道路,bd09,,删除
15,中台社区市民社区食堂,121.35453049205317,37.54789355301046,1,80,餐饮,bd09,,删除
16,大东社区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
17,航院社区市民社区食堂,121.42523396281031,37.5395488451471,1,80,餐饮,bd09,,删除
18,黄务社区市民社区食堂,121.4129039112109,37.487896708560584,1,80,餐饮,bd09,,删除
19,西牟社区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
20,青华社区市民社区食堂,121.37610302938364,37.541829339569865,1,80,餐饮,bd09,,删除
21,大疃社区市民社区食堂,121.3899566969585,37.607760617028035,1,80,餐饮,bd09,,删除
22,胜利路社区市民社区食堂,121.44095529737099,37.460673323301286,0,30,道路,bd09,,删除
23,大海阳壹家生活社区厨房,121.1804581977879,36.693269738228416,0,20,区县,bd09,,删除
24,清洋朱甲山日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
25,清洋街道办事处南关社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
26,清洋街道办事处下夼社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
27,福新街道垆上居委会日间照料中心,121.23034577394563,37.540718358430205,0,50,NoClass,bd09,,删除
28,福新街道大杨家居委会日间照料中心,121.19146127248798,37.533352026023366,0,50,NoClass,bd09,,删除
29,福新街道小杨家居委会日间照料中心,121.19146127248798,37.533352026023366,0,50,NoClass,bd09,,删除
