县市区,机构名称,地址,建筑面积,床位数量,运营性质
福山区,高疃幸福院,高疃镇西村,400,20,公（村）办
福山区,高疃义井幸福院,高疃镇义井村,400,20,公（村）办
福山区,高疃赵家庄幸福院,高疃镇赵家庄村,400,20,公（村）办
福山区,张格庄台上幸福院,张格庄镇台上村,400,20,公（村）办
福山区,回里西道平幸福院,回里镇西道平村,400,20,公（村）办
福山区,门楼两甲幸福院,门楼镇两甲村,400,20,公（村）办
福山区,门楼肖家幸福院,门楼镇肖家村,400,20,公（村）办
福山区,张格庄镇车家村幸福院,张格庄镇车家村,400,20,公（村）办
福山区,门楼镇贾家疃社区农村幸福院,门楼镇贾家疃社区,410,20,公（村）办
福山区,门楼镇楼底社区农村幸福院,门楼镇楼底社区,406,20,公（村）办
福山区,回里镇西回里村幸福院,回里镇西回里村,480,20,公（村）办
福山区,回里镇胡家夼村幸福院,回里镇胡家夼村,420,20,公（村）办
福山区,高疃镇东罗格庄村幸福院,高疃镇东罗格庄村,406,20,公（村）办
福山区,高疃镇西罗格庄村幸福院,高疃镇西罗格庄村,410,20,公（村）办
福山区,张格庄镇楼子口村幸福院,张格庄镇楼子口村,500,20,公（村）办
福山区,回里镇巨甲幸福院,回里镇巨甲村,400,20,公（村）办
福山区,回里解村社区农村幸福院,回里镇解村社区,400,20,公（村）办
福山区,回里后富社区农村幸福院,回里镇后富社区,400,20,公（村）办
福山区,门楼楚塘社区农村幸福院,门楼镇楚塘社区,400,20,公（村）办
福山区,门楼邱家庄社区农村幸福院,门楼镇邱家庄社区,400,20,公（村）办
福山区,门楼周家岘社区农村幸福院,门楼镇周家岘社区,400,20,公（村）办
福山区,张格庄杜家崖社区农村幸福院,张格庄镇杜家崖社区,400,20,公（村）办
福山区,张格庄上官社区农村幸福院,张格庄镇上官社区,400,20,公（村）办
福山区,高疃上疋山夼社区农村幸福院,高疃镇上疋山夼社区,400,20,公（村）办
福山区,高疃东宋社区农村幸福院,高疃镇东宋社区,400,20,公（村）办
福山区,高疃古上社区农村幸福院,高疃镇古上社区,400,20,公（村）办
福山区,回里镇谭家庄农村幸福院,烟台市福山区回里镇谭家庄,420,20,公（村）办
福山区,张格庄社区农村幸福院,张格庄镇张格庄社区,400,20,公（村）办
福山区,黑石社区农村幸福院,张格庄镇黑石社区,400,20,公（村）办
福山区,蓬莱庄社区农村幸福院,门楼镇蓬莱庄社区,500,20,公（村）办
福山区,刘家庄社区农村幸福院,回里镇刘家庄社区,420,20,公（村）办
福山区,高疃镇湘河社区农村幸福院,高疃镇湘河社区,460,20,公（村）办
福山区,高疃镇湘里社区农村幸福院,高疃镇湘里社区,400,20,公（村）办
福山区,东厅街道解字崖社区农村幸福院,东厅街道解字崖社区,1000,20,公（村）办
福山区,回里镇东回里社区农村幸福院,回里镇东回里社区,420,20,公（村）办
福山区,高疃镇邹格庄社区农村幸福院,高疃镇邹格庄社区,406,20,公（村）办
福山区,回里镇善疃社区农村幸福院,回里镇善疃社区,420,21,公（村）办
福山区,张格庄镇院口社区农村幸福院,张格庄镇院口社区,400,22,公（村）办
福山区,回里镇刘村社区农村幸福院,回里镇刘村社区,400,23,公（村）办
福山区,门楼镇上许家社区农村幸福院,门楼镇上许家社区,400,24,公（村）办
福山区,张格庄镇黄莲墅社区农村幸福院,张格庄镇黄莲墅社区,420,25,公（村）办
福山区,高疃镇寨子社区农村幸福院,高疃镇寨子社区,400,20,公（村）办
福山区,臧家庄镇东庄村幸福院,臧家庄镇东庄村,400,20,公（村）办
福山区,臧家庄镇大台村幸福院,臧家庄镇大台村,400,20,公（村）办
福山区,臧家庄镇槐树庄村幸福院,臧家庄镇槐树庄村,400,20,公（村）办
福山区,臧家庄镇大栾家农村幸福院,臧家庄镇大栾家村,700,20,公（村）办
福山区,臧家庄镇北洛汤村农村幸福院,臧家庄镇北洛汤村,700,20,公（村）办
福山区,臧家庄镇臧家庄村农村幸福院,臧家庄镇臧家庄村,560,20,公（村）办
福山区,经济开发区东泊子村幸福院,开发区东泊子村,400,20,公（村）办
福山区,开发区御家沟村幸福院,开发区御家沟村,400,20,公（村）办
福山区,开发区南桥村幸福院,开发区南桥村,460,20,公（村）办
福山区,开发区小夼村幸福院,开发区小夼村,400,20,公（村）办
福山区,开发区中桥村幸福院,开发区中桥村,400,20,公（村）办
福山区,开发区小潘家村幸福院,开发区小潘家村,400,20,公（村）办
福山区,开发区泗水村幸福院,开发区泗水村,420,20,公（村）办
福山区,开发区燕地村幸福院,开发区燕地村,400,20,公（村）办
福山区,经济开发区曹家庄农村幸福院,开发区曹家庄村,400,20,公（村）办
