lng,lat,value
121.4848682,31.24077607,4579.591836734694
121.1305531,31.15545432,4727.272727272727
121.5325199,31.26552414,4820.0
121.4433964,31.19455677,4819.444444444444
121.5504546,31.22734829,5012.690355329949
121.4304544,31.22684797,5072.727272727273
121.4915856,31.23724715,4892.857142857143
121.4035693,31.25497337,4936.170212765957
121.3886119,31.11884258,4914.141414141414
121.2344796,31.03713518,4562.5
121.5115865,31.2697467,5040.540540540541
121.496563,31.41027947,5018.518518518518
121.2725951,31.38015534,4634.615384615385
121.4534318,31.23384493,5121.212121212121
121.4805037,30.92372011,4433.333333333333
