lng,lat,value
121.4848682,31.24077607,6876.315789473684
121.1305531,31.15545432,6666.666666666667
121.5325199,31.26552414,6413.793103448276
121.4433964,31.19455677,6429.824561403509
121.5504546,31.22734829,6737.3239436619715
121.4304544,31.22684797,6690.476190476191
121.4915856,31.23724715,6255.882352941177
121.4035693,31.25497337,6080.645161290323
121.3886119,31.11884258,6213.333333333333
121.2344796,31.03713518,6290.0
121.5115865,31.2697467,7052.631578947368
121.496563,31.41027947,6589.473684210527
121.2725951,31.38015534,6343.75
121.4534318,31.23384493,6610.714285714285
121.34848,30.74785238,6400.0
121.4805037,30.92372011,5666.666666666667
